
hre,vietnamese
Patih caq dheac,làm nghề ngư nghiệp (ít phổ biến)
patơ lem,điềm lành
patơ 'mêq,điềm xấu
pazâu,thầy cúng
pêh rông,mở rộng
pem,nơm
Pêt,Trồng
Phaq pray,phá, phá vỡ, phá tan
Phat’noh,phát ra
Phi,gạo
Phông,Lạc đậu phụng
Pi,mấy người (cách gọi mấy người đang đối diện)
Piq ,Số ba(3)
Pi hiaq,không còn
Piq i,không còn
Pi oi i,không còn nữa, không còn có nữa
Pi xây,không phải
Ping,Anh, bác(xưng hô của xui gia với nhau, của con rễ, con dâu với cha mẹ, ông bà, cô bác của vợ hoặc chồng)
Piq,Ba(3)
Piq jât,Ba mươi(30)
Plah,can, can thiệp, tách ra (dập lửa)
Plaih ti,Sảy (sải) tay
Plây,Làng
Plây pla,Hàng xóm, làng xóm
plây chêm,xóm, làng
Plây chêm krâm,xóm làng đông đúc
Pli,trái, quả
Pli nơih,trái tim
Pli pa neang,trái cau
Pleng phi,Hạt gạo
Pleng tơh,Hạt đậu
Pling,Trời
Plinh pa đang kroh dheac,Trời nắng khô hạn
Plinh taneh,đất trời  (trời đất)
Plôh,phát lên, mọc lên
Plôh toc ,dâng lên, trôi lên
Pli pôh,dâu da (rừng)
Pun,Bốn(4)
Pun zât,bốn mươi (40)
Pơq ,cõng
Pot ranoong,cắt cổ
Pot,cắt
Pra,đầu tra (giàn)
Prâm,nương
Pray,vỡ, tan ra
Pa dhah,vỡ, tan vỡ, bể
Prêt,Chuối
Prinh,Cầu vồng 
Pu,tổ, ổ
Quai,Khoai
Quai gon,Củ mỳ
Quai tun,Củ khoai lang
Quai lăng,Củ khoai lang
Quit ,quét nhà
Khoeng,chiếc nhẫn
Ra hu ra nhơm,sang trọng (linh đình)
Ka dhê,cây trúc, trẫy
Ra hnicq,Cái gút, thắt dây, nút thắt
Ra hu,oai phong
Ra huq ma un,thủ thỉ, tâm tình, thỏ thẻ
Ra năng ka,đánh bắt cá 
Ra ngom,sương, giọt sương
Dheac ngom, giọt sương
Ra ngot,hay(hát hay, đàn hay...)êm tai, ngọt ngào
Ra nhoa,điên, khùng
Ra oih,nỉ non
Ra mech,Mộng du
Ra viaq,khéo léo, tỉ mĩ
Ra vơit,bão
Ra weang,vòng, trong vòng
Ra ân,vẻ chuyện tỏ ra trầm trọng
Rêh Vroac,gãy đàn Vroac
Ra zôt,thường xuyên
Ra yâu,cái cớ, lý do
Răng,mũi tên
Rahwâng,chỗ hở
Rai,rải ( như tiếng việt)
Ray êh ray,càng ngày càng
Ray lam ray,vừa đi vừa...
Râyh,chọn, lựa, kén chọn
Rajêu,nứa, trúc, tre
Ralâm,khai hoang/vỡ hoang
Ralâng,Động đất, động trời
Ralâyh,Sạt lở
Ra mơt,ghê tởm, ghê gớm
Ranuh,giãy giụa
Ranh,cố gắng
Ranang,đánh bắt cá  bằng nhá
Râng,đem,đưa đến  , truyền đi
Reang uinh,tia lửa, ánh lửa
Ranong,cổ
Rayâu,sôi nổi (phấn khởi),tỏ vẽ
Razêu,Nứa
Reang,hoa, bông hoa
Rên,đếm
Rêm,Tất cả, hằng (đều đặn diễn ra)
Rêm zơ,nhiều mùa, hàng giờ
Anh – Tôi/Tao
May – Bạn/Mày
Ploi – Làng/Bản
Huy – Nhà
Đạq – Nước
Ui – Lửa
Tếq – Đất
K'pố – Con trâu
Máng – Con ngựa
Chao – Ăn
Hồq – Uống
K’tắc – Cười vui
Yôm – Khóc nhè
K’mạnh – Khỏe mạnh
Mội – Một
May vàng đâu hếq? – Bạn đi đâu đấy?
Anh vàng chao cơm – Tôi đi ăn cơm
Nà – Ruộng
Mir – Rẫy
K’pố – Trâu
K’pế – Bò
K’chuic – Lợn
K’ia – Gà
K’mơ – Vịt
May chao cơm chưa? – Bạn ăn cơm chưa?
Anh chao hếq – Tôi ăn rồi
Đạq – Nước
Ui – Lửa
Tếq – Đất
Long – Cây
H’la – Lá
Pơ-kao – Hoa
Ranh măng – Đẹp/Tốt
H’xấu – Xấu
Huy anh ranh măng – Nhà tôi đẹp
Ploi may ở đâu? – Làng bạn ở đâu?
Ba – Bố
Mế – Mẹ
Vái – Ông/Bà
Con – Con
Châu – Cháu
Mi – Anh em
O – Em
Anh thương may hếq – Tôi thương bạn lắm
K’pếq – Rượu
Đoăm – Rượu cần
Kà-choi – Hát
Xoang – Múa
K’pan – Chiêng
Tơ-ngia – Nghe
Ngốq – Nhìn
Pơ-reo – Gọi
Tơ-màng – Hỏi
Tơ-ranh – Trả lời
Anh tơ-ngia may nói – Tôi nghe bạn nói
Khậy – Trăng
Mặt h’ray – Mặt trời
H’long – Sao
K’tuôn – Mây
K’tro – Nóng
K’pắt – Lạnh
H’ray m’o ranh măng – Ngày mới tốt lành
Nhăq – Nhỏ
Tơ-pri – Lớn
H’roi – Dài
H’rễq – Ngắn
H’goi – Xa
Tơ-ne – Gần
Vàng m’re – Đi nhanh
Vàng k’da – Đi chậm
May nói m’re hếq – Bạn nói nhanh lắm
M’năng – Thấy
M’no – Nghĩ
H’uy – Sợ
Tắc – Cười
Yôm – Khóc
S’re – Ruộng lúa
Càng – Cày
R’vừa – Bừa
Ba – Lúa
M’mốq – Thịt
Mặt h’ray chuông hếq – Mặt trời cao lắm rồi
Vàng mir – Đi rẫy
Làm nà – Làm ruộng
Gặt ba – Gặt lúa
Chao cơm – Ăn cơm
Hồq đạq – Uống nước
Hồq k’pếq – Uống rượu
Huy sàn – Nhà sàn
Ploi ta – Làng ta
Ba mế – Bố mẹ
Con châu – Con cháu
Vái păng – Ông bà
Anh mi – Anh em
O mi – Chị em
Bơ-ngai – Con người
Nhăq đăm – Trẻ con
M’nới – Thanh niên
Pơ-đăng – Người già
Chủ ploi – Chủ làng
K’pố đực – Trâu đực
K’pố cái – Trâu cái
K’chuic – Con lợn
K’ia – Con gà
K’mơ – Con vịt
K’la rừng – Hổ rừng
K’nai – Con nai
K’rắn – Con rắn
Đạq suối – Nước suối
Ui bếp – Lửa bếp
Tếq ploi – Đất làng
H’la long – Lá cây
Pơ-kao – Bông hoa
Quả long – Trái cây
Mặt h’ray – Mặt trời
Khậy sáng – Trăng sáng
H’long – Ngôi sao
Mưa tơ-pri – Mưa lớn
K’tuôn – Đám mây
Tơ-mớq – Nóng bức
K’pắt – Lạnh lẽo
H’ray m’o – Ngày mới
K’măng tối – Đêm tối
Hang tối – Hang tối
Đá tơ-pri – Đá lớn
Cát nhăq – Cát nhỏ
Đường vàng – Đường đi
H’uýt ranh – Váy đẹp
K’păn m’o – Áo mới
Dệt vải – Dệt vải
Đan h’nhia – Đan chiếu
M’mền – Cái chăn
Cà-đo – Cái gùi
K’rau – Cái rựa
K’nâu – Con dao
Tơ-lek – Cái rìu
K’pan kêu – Chiêng kêu
Kà-choi – Hát dân ca
Ka-lêu – Điệu Ka-lêu
Xoang vui – Múa vui
Giàng – Thần linh
Bán ba – Bán lúa
Mệt hếq – Mệt lắm
Khỏe hếq – Khỏe lắm
Vàng m're – Đi nhanh lên
Vàng k'da – Đi thong thả
Huy sàn chuông – Nhà sàn cao
Cầu thang long – Cầu thang gỗ
Bếp ui tơ-mớq – Bếp lửa nóng
Nồi chao cơm – Nồi nấu cơm
Chén hồq đạq – Bát uống nước
Muối m're cay – Muối ớt cay
Cá suối ngon – Cá suối ngon
Rau rừng sạch – Rau rừng sạch
M'mốq chuộc nướng – Thịt lợn nướng
K'pếq đoăm thơm – Rượu cần thơm
Hồq say hếq – Uống say lắm
Vàng ploi vui – Đi làng vui
Về huy ngủ – Về nhà ngủ
H'mê ranh măng – Ngủ ngon giấc
Mặc k'păn m'o – Mặc áo mới
Quấn khăn k'o – Quấn khăn đầu
Đeo vòng cườm – Đeo vòng cườm
Vàng làm nà – Đi làm ruộng
Vàng làm mir – Đi làm rẫy
Chặt long rừng – Chặt cây rừng
Bửa củi khô – Bửa củi khô
Nhóm ui bếp – Nhóm lửa bếp
Đun đạq sôi – Đun nước sôi
Pha trà hồq – Pha trà uống
Ba vàng s're – Bố đi ruộng
Mế ở huy – Mẹ ở nhà
Con vàng học – Con đi học
Châu tắc vui – Cháu cười vui
Vái ngồi h'nhia – Bà ngồi chiếu
Pơ-đăng nói chuyện – Người già nói chuyện
M'nới xoang vui – Thanh niên múa vui
Nhăq đăm chạy – Trẻ con chạy
K'pố ăn cỏ – Con trâu ăn cỏ
K’pế vàng đường – Con bò đi đường
K'ia gáy m'o – Con gà gáy sáng
K'mơ bơi đạq – Con vịt bơi dưới nước
K'chuic ăn no – Con lợn ăn no
Rừng tơ-pri – Rừng rộng lớn
Núi chuông hếq – Núi cao lắm
Suối đạq mát – Suối nước mát
Đường h'roi hếq – Đường dài lắm
Mây đen kéo – Mây đen kéo đến
Mặt h’ray chuông – Mặt trời lên cao
Khậy sáng ploi – Trăng sáng bản làng
H’long ranh hếq – Sao đẹp lắm
Sách chữ m'o – Quyển sách chữ mới
Viết văn ranh – Viết chữ đẹp
Đọc văn m're – Đọc chữ nhanh
Vàng chợ mua – Đi chợ mua đồ
Bán ba lấy tiền – Bán lúa lấy tiền
Mua muối m're – Mua muối và ớt
Thương ba mế – Thương bố mẹ
Thương ploi ta – Thương làng ta
Giúp bơ-ngai – Giúp đỡ mọi ngườ
Phải tơ-drăng – Phải thật thà
Đâm k'pố cúng – Đâm trâu cúng tế
Hồq rượu cần – Uống rượu cần
Đánh k'pan vang – Đánh chiêng vang
Hát kà-choi – Hát làn điệu dân ca
Múa xoang ranh – Múa xoang đẹp
Vui vẻ hếq – Vui vẻ lắm
Khỏe mạnh hếq – Khỏe mạnh lắm
Sống lâu ranh – Sống lâu tốt đẹp
Đi đường ranh – Đi đường bình an
Về huy ranh – Về nhà an toàn
Cảm ơn may – Cảm ơn bạn
May ở lại – Bạn ở lại nhé
Ngủ ranh măng – Chúc ngủ ngon
H'ray m'o gặp – Sáng mai gặp lại
M'no ranh – Suy nghĩ tốt
M'no h'xấu – Suy nghĩ xấu
Tơ-màng việc – Hỏi công việc
Tơ-ranh trúng – Trả lời đúng
Vàng mir sớm – Đi rẫy sớm
Về ploi tối – Về làng tối
Chao cơm no – Ăn cơm no
Hồq đạq đã – Uống nước đã khát
Hồq rượu say – Uống rượu say
Huy sàn gỗ – Nhà sàn bằng gỗ
Ploi ta giàu – Làng ta giàu có
Ba làm nà – Bố làm ruộng nước
Mế làm mir – Mẹ làm rẫy
Con học văn – Con học chữ viết
Châu tắc tắc – Cháu cười ha ha
Vái đan h'nhia – Bà đan chiếu cói
Pơ-đăng kể chuyện – Người già kể chuyện
M'nới xoang k'pan – Thanh niên múa chiêng
K'pố béo hếq – Con trâu béo lắm
K’pế vàng gầy – Con bò vàng gầy
K'ia đẻ trứng – Con gà đẻ trứng
K'mơ lặn đạq – Con vịt lặn dưới nước
K'chuic kêu – Con lợn kêu ụt 
Chim hót ranh – Chim hót hay
Cá nhảy đạq – Cá nhảy dưới nước
Rừng xanh hếq – Rừng xanh ngắt
Núi chuông vút – Núi cao vút
Suối chảy m're – Suối chảy nhanh
Đường vàng h'roi – Đường đi dài dẳng
Mây bay chuông – Mây bay trên cao
Mặt h’ray mọc – Mặt trời đang mọc
Khậy sáng mir – Trăng sáng soi rẫy
H’long nhiều hếq – Sao nhiều vô kể
Sách văn m'o – Quyển sách chữ mới
Đọc văn m're – Đọc chữ rất nhanh
Vàng chợ xa – Đi chợ ở xa
Hồq rượu cần – Uống rượu cần say
Chào may nhé – Lời chào bạn nhé
Hẹn gặp lại – Hẹn ngày gặp lại
Cảm ơn may – Lời cảm ơn bạn
Không có gì – Không có chuyện gì
Anh vàng đây – Tôi đi ngay đây
May ở lại – Bạn hãy ở lại
H'ray m'o gặp – Sáng mai gặp lại
Khát đạq mát – Khát nước suối mát
Đói bụng hếq – Thấy rất đói bụng
Mơ thấy ranh – Nằm mơ thấy đẹp
Vẫy tay chào – Vẫy tay chào nhau
Chỉ đường vàng – Chỉ đường đi lối
La to vang – La hét thật to
Mắng con châu – Mắng mỏ con cháu
Khen việc ranh – Khen công việc tốt
Chê việc h'xấu – Chê công việc xấu
